28	0	0	nan
8	6	6	1.000000
21	0	0	nan
17	0	0	nan
15	0	0	nan
46	1	1	1.000000
27	0	0	nan
42	1	1	1.000000
18	1	1	1.000000
41	0	0	nan
26	1	1	1.000000
39	0	0	nan
33	0	0	nan
49	0	0	nan
34	1	1	1.000000
40	0	0	nan
48	0	0	nan
23	0	0	nan
22	1	1	1.000000
38	1	1	1.000000
37	0	0	nan
13	0	0	nan
14	4	4	1.000000
45	0	0	nan
25	0	0	nan
35	0	0	nan
7	6	6	1.000000
47	0	0	nan
11	0	0	nan
19	0	0	nan
30	1	1	1.000000
24	0	0	nan
36	0	0	nan
31	0	0	nan
16	0	0	nan
29	0	0	nan
32	0	0	nan
10	6	6	1.000000
20	0	0	nan
43	0	0	nan
44	0	0	nan
9	6	6	1.000000
12	0	0	nan
39	0	0	nan
28	0	0	nan
17	0	0	nan
34	1	1	1.000000
8	6	6	1.000000
27	0	0	nan
12	0	0	nan
32	0	0	nan
37	0	0	nan
21	0	0	nan
38	1	1	1.000000
19	0	0	nan
33	0	0	nan
45	0	0	nan
41	0	0	nan
29	0	0	nan
16	0	0	nan
35	0	0	nan
44	0	0	nan
43	0	0	nan
24	0	0	nan
15	0	0	nan
23	0	0	nan
36	0	0	nan
26	1	1	1.000000
49	0	0	nan
18	1	1	1.000000
25	0	0	nan
40	0	0	nan
30	1	1	1.000000
13	0	0	nan
31	0	0	nan
9	6	6	1.000000
20	0	0	nan
22	1	1	1.000000
14	4	4	1.000000
11	0	0	nan
10	6	6	1.000000
42	1	1	1.000000
46	1	1	1.000000
47	0	0	nan
48	0	0	nan
7	6	6	1.000000
24	0	0	nan
33	0	0	nan
34	1	1	1.000000
42	1	1	1.000000
21	0	0	nan
48	0	0	nan
8	6	6	1.000000
44	0	0	nan
26	1	1	1.000000
13	0	0	nan
27	0	0	nan
32	0	0	nan
30	1	1	1.000000
12	0	0	nan
14	4	4	1.000000
35	0	0	nan
37	0	0	nan
15	0	0	nan
20	0	0	nan
43	0	0	nan
22	1	1	1.000000
46	1	1	1.000000
11	0	0	nan
28	0	0	nan
49	0	0	nan
23	0	0	nan
18	1	1	1.000000
47	0	0	nan
31	0	0	nan
41	0	0	nan
9	6	6	1.000000
7	6	6	1.000000
40	0	0	nan
16	0	0	nan
38	1	1	1.000000
29	0	0	nan
39	0	0	nan
10	6	6	1.000000
45	0	0	nan
17	0	0	nan
25	0	0	nan
19	0	0	nan
36	0	0	nan
39	0	0	nan
29	0	0	nan
15	0	0	nan
9	6	6	1.000000
44	0	0	nan
48	0	0	nan
30	1	1	1.000000
8	6	6	1.000000
16	0	0	nan
12	0	0	nan
42	1	1	1.000000
17	0	0	nan
40	0	0	nan
47	0	0	nan
7	6	6	1.000000
25	0	0	nan
32	0	0	nan
43	0	0	nan
37	0	0	nan
45	0	0	nan
13	0	0	nan
36	0	0	nan
26	1	1	1.000000
33	0	0	nan
27	0	0	nan
28	0	0	nan
34	1	1	1.000000
35	0	0	nan
31	0	0	nan
38	1	1	1.000000
11	0	0	nan
18	1	1	1.000000
23	0	0	nan
20	0	0	nan
22	1	1	1.000000
49	0	0	nan
14	4	4	1.000000
46	1	1	1.000000
10	6	6	1.000000
21	0	0	nan
19	0	0	nan
41	0	0	nan
24	0	0	nan
